,carid,pushDate,pushPrice,updatePriceTimeJson,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,fday
230,14440,2021-09-03,28.0,"{'2021-09-03': 28.0, '2021-09-06': '27.5'}",2021-09-06,11,15,3503,6.04,2,3,1,0,5,2018-09-01,2018-11-02,779412.0,2.0,2018.0,1.8,7,1,40.28,1.0,8,2,,12,2,,2.0,4.0,3.0,"1+2,4+2",5036*1874*1466,201708.0,2,,27.5,3
1872,20981,2021-08-30,22.8,"{'2021-08-30': 22.8, '2021-08-31': '20.89', '2021-09-06': '20.68'}",2021-09-06,12,304,4607,9.43,2,5,1,0,5,2017-03-01,2017-04-25,779415.0,2.0,2017.0,2.0,19,1,29.28,1.0,3,2,33.0,16,1,,2.0,5.0,2.0,1+2,4816*1942*1669,201610.0,1,,20.68,7
189,225,2021-09-06,3.8499,{'2021-09-06': 3.8499},2021-09-06,22,165,219,9.31,1,2,1,0,5,2017-02-01,2017-05-19,779413.0,1.0,2016.0,1.5,3,1,9.99,1.0,2,2,121.0,22,2,,1.0,4.0,2.0,1,4612*1804*1488,201606.0,2,,3.8499,0
556,273,2021-09-06,13.95,{'2021-09-06': 13.95},2021-09-06,5,73,264,0.79,1,3,4,0,5,2020-09-01,2020-10-13,,,2020.0,1.5,16,1,19.99,1.0,3,2,58.0,5,1,,,,,1+2,4686*1839*1686,201911.0,1,,13.95,0
946,1430,2021-09-06,3.7,{'2021-09-06': 3.7},2021-09-06,3,210,662,11.25,2,1,2,1,5,2011-04-01,2011-04-22,779416.0,2.0,,2.0,23,1,21.78,1.0,6,2,,3,2,2015-05-25,2.0,4.0,3.0,1+2,4854*1886*1495,201103.0,1,,3.7,0
1288,63272,2021-09-06,1.48,{'2021-09-06': 1.48},2021-09-06,13,383,11140,15.27,2,3,2,0,5,2011-06-01,2012-01-04,779416.0,2.0,2010.0,1.8,6,1,12.99,1.0,6,2,,14,2,,1.0,4.0,3.0,1,4820*1807*1450,200909.0,1,,1.48,0
1066,567,2021-07-20,4.38,"{'2021-07-20': 4.38, '2021-08-29': '4.2', '2021-09-07': '3.9'}",2021-09-07,1,207,532,7.68,1,4,2,0,5,2016-07-01,2016-09-20,779413.0,1.0,2016.0,1.8,1,1,8.78,1.0,5,2,158.0,1,1,,1.0,5.0,2.0,1,4620*1820*1750,201606.0,1,,3.9,49
1694,16492,2021-09-07,13.68,{'2021-09-07': 13.68},2021-09-07,5,67,3810,0.46,1,14,4,0,5,2021-03-01,2021-05-26,,,2020.0,1.5,19,1,18.88,1.0,6,2,58.0,5,2,,,,,1+2,4904*1863*1461,202008.0,2,,13.68,0
232,41095,2021-09-06,2.0,"{'2021-09-06': 2.0, '2021-09-07': '1.8'}",2021-09-07,5,5,7752,12.56,2,19,2,0,5,2010-05-01,2010-06-10,779416.0,2.0,2008.0,1.6,4,1,11.79,1.0,2,2,5.0,5,2,,1.0,4.0,3.0,1,4515*1725*1445,,2,,1.8,1
838,62763,2021-09-07,4.99,{'2021-09-07': 4.99},2021-09-07,28,587,11049,3.18,1,5,1,0,5,2017-11-01,2018-01-08,779419.0,2.0,2017.0,1.4,3,1,8.89,1.0,4,2,93.0,30,2,,1.0,4.0,3.0,1,4400*1740*1460,201710.0,2,,4.99,0
738,317,2021-09-07,4.6999,{'2021-09-07': 4.6999},2021-09-07,12,92,304,14.0,5,2,3,1,5,2009-01-01,2009-04-15,,,2008.0,2.0,22,1,19.98,1.0,6,2,155.0,16,2,2021-01-15,,,,1+2,4945*1845*1480,200801.0,2,,4.6999,0
1569,10204,2021-09-07,6.85,{'2021-09-07': 6.85},2021-09-07,2,82,2784,8.44,1,15,2,0,5,2010-08-01,2010-11-24,779415.0,2.0,2010.0,2.4,21,1,22.68,1.0,6,2,66.0,24,2,,1.0,4.0,3.0,1+2,4825*1820*1485,201003.0,1,,6.85,0
1966,10728,2021-09-07,15.8,{'2021-09-07': 15.8},2021-09-07,18,33,2851,6.01,1,14,1,0,5,2016-02-01,2016-04-26,779412.0,2.0,2016.0,1.6,13,1,28.3,1.0,6,2,225.0,23,2,,2.0,4.0,3.0,1+2,4643*1811*1454,201509.0,1,,15.8,0
1957,14266,2021-09-07,16.98,{'2021-09-07': 16.98},2021-09-07,18,300,3478,4.6,3,1,1,0,5,2016-08-01,2016-10-25,779412.0,3.0,2016.0,2.0,13,1,30.6,1.0,2,2,20.0,20,3,,2.0,5.0,2.0,1+2,4341*1765*1458,201610.0,1,,16.98,0
1197,1084,2021-07-26,3.9,"{'2021-07-26': 3.9, '2021-08-15': '3.5', '2021-08-29': '3.38', '2021-09-07': '3.0'}",2021-09-07,25,97,963,5.22,1,4,1,0,5,2016-04-01,2016-08-22,779413.0,1.0,2016.0,1.6,6,1,7.59,1.0,2,2,77.0,28,2,,1.0,4.0,3.0,1,4620*1820*1510,201607.0,2,,3.0,43
1791,11975,2021-09-07,7.28,{'2021-09-07': 7.28},2021-09-07,12,21,3121,2.85,1,17,4,0,5,2019-11-01,2020-01-13,779415.0,2.0,2020.0,1.5,11,1,8.18,1.0,4,2,187.0,16,3,,1.0,5.0,,1,4096*1695*1525,201911.0,1,,7.28,0
1099,5287,2021-09-07,22.0,{'2021-09-07': 22.0},2021-09-07,18,243,1984,9.28,2,1,1,0,5,2013-02-01,2013-08-02,779412.0,3.0,2013.0,3.0,13,1,90.1,,11,2,86.0,20,1,,2.0,5.0,2.0,3+2,4862*1933*1776,201212.0,2,,22.0,0
1096,48137,2021-09-07,6.1,{'2021-09-07': 6.1},2021-09-07,8,16,16,5.75,1,15,1,0,5,2015-05-01,2015-09-29,779412.0,2.0,2015.0,1.6,3,1,12.53,1.0,2,2,,8,2,,1.0,4.0,3.0,1,4523*1775*1467,201507.0,1,,6.1,0
1336,1198,2021-07-28,2.88,"{'2021-07-28': 2.88, '2021-08-15': '2.6', '2021-08-29': '2.38', '2021-09-07': '2.0'}",2021-09-07,25,60,1054,4.69,4,4,2,0,5,2012-09-01,2012-11-09,779413.0,1.0,2012.0,1.6,6,1,8.29,1.0,1,2,46.0,28,1,,1.0,5.0,2.0,1,4160*1810*1670,201210.0,2,2048-07-28,2.0,41
1416,67850,2021-08-25,20.68,"{'2021-08-25': 20.68, '2021-09-07': '20.18'}",2021-09-07,30,143,11788,6.74,1,1,1,0,5,2017-05-01,2017-08-08,779418.0,2.0,2017.0,2.0,13,1,42.99,1.0,3,2,108.0,32,1,,2.0,5.0,,1+2,4644*1891*1713,201701.0,1,,20.18,13
1724,51890,2021-08-30,22.48,"{'2021-08-30': 22.48, '2021-09-07': '22.3'}",2021-09-07,66,932,9481,4.02,5,19,4,0,5,2020-05-01,2020-06-29,779416.0,2.0,2020.0,2.0,29,1,29.97,1.0,6,2,172.0,75,2,,2.0,4.0,,1+2,4924*1883*1453,201911.0,2,,22.3,8
1920,3758,2021-09-07,9.5,{'2021-09-07': 9.5},2021-09-07,8,11,346,9.65,2,1,2,0,5,2012-11-01,2013-01-11,779412.0,2.0,2013.0,2.0,23,1,28.48,1.0,6,2,,10,2,,2.0,4.0,3.0,1+2,4870*1834*1472,201211.0,2,,9.5,0
1450,31402,2021-08-27,28.8,"{'2021-08-27': 28.8, '2021-09-07': '28.68'}",2021-09-07,20,127,6236,2.64,1,1,4,1,5,2019-03-01,2019-06-17,779412.0,2.0,2019.0,1.5,19,2,34.68,1.0,6,2,307.0,21,2,2021-08-26,2.0,4.0,,1+2,4784*1810*1457,201903.0,1,,28.68,11
216,1021,2021-07-25,6.18,"{'2021-07-25': 6.18, '2021-08-15': '5.88', '2021-09-07': '5.5'}",2021-09-07,65,387,913,4.95,1,4,1,0,7,2017-11-01,2018-01-04,779413.0,1.0,2017.0,1.5,11,1,10.1,1.0,3,2,257.0,74,1,,2.0,5.0,2.0,1,4680*1845*1715,201709.0,2,2068-07-25,5.5,44
548,1559,2021-08-30,98.0,"{'2021-08-30': 98.0, '2021-09-07': '91.5'}",2021-09-07,80,346,1311,2.89,3,1,1,0,7,2018-03-01,2018-11-15,779416.0,3.0,2018.0,3.5,29,1,119.8,1.0,15,2,,95,1,,5.0,5.0,,3+2,5355*2073*1937,201801.0,2,,91.5,8
550,909,2021-07-28,2.5,"{'2021-07-28': 2.5, '2021-08-11': '3.3', '2021-08-29': '3.1', '2021-09-07': '2.65'}",2021-09-07,3,194,821,13.26,5,4,2,0,5,2012-01-01,2012-02-15,779416.0,2.0,2011.0,1.5,17,1,9.79,1.0,4,2,183.0,3,2,,1.0,4.0,3.0,1,4297*1722*1467,201105.0,2,,2.65,41
327,394,2021-09-04,2.66,"{'2021-09-04': 2.66, '2021-09-07': '2.75'}",2021-09-07,25,60,373,7.32,1,4,2,0,5,2014-09-01,2014-09-22,779413.0,1.0,2014.0,1.6,6,1,8.29,1.0,1,2,46.0,28,1,,1.0,5.0,2.0,1,4160*1810*1670,201312.0,2,2056-09-04,2.75,3
1944,13358,2021-09-07,8.6,{'2021-09-07': 8.6},2021-09-07,11,15,3346,9.46,2,15,3,1,5,2009-11-01,2010-01-06,779412.0,2.0,2010.0,2.0,20,1,39.99,1.0,8,2,,12,2,2018-07-19,2.0,4.0,3.0,1+2,5035*1855*1485,200908.0,1,,8.6,0
916,1367,2021-07-27,3.9,"{'2021-07-27': 3.9, '2021-08-15': '3.6', '2021-09-07': '3.39'}",2021-09-07,10,197,1173,1.9,1,4,2,0,5,2014-06-01,2014-07-01,779413.0,1.0,2014.0,1.6,24,1,8.79,1.0,1,2,150.0,11,1,,1.0,5.0,2.0,1,4420*1760*1670,201412.0,2,,3.39,42
1411,18774,2021-09-07,27.5,{'2021-09-07': 27.5},2021-09-07,11,15,4215,6.82,2,1,1,0,5,2017-04-01,2017-05-27,779412.0,2.0,2017.0,1.8,7,1,41.88,1.0,8,2,,12,2,,2.0,4.0,3.0,"1+2,4+2",5036*1874*1466,201609.0,2,,27.5,0
1465,479,2021-08-06,3.5,"{'2021-08-06': 3.5, '2021-08-11': '4.68', '2021-09-07': '4.35'}",2021-09-07,6,265,451,1.69,1,4,1,0,5,2019-01-01,2019-02-15,779413.0,1.0,2017.0,1.5,4,1,6.59,1.0,1,2,87.0,6,1,,1.0,5.0,2.0,1,4005*1760*1575,201708.0,2,,4.35,32
706,17743,2021-09-07,4.18,{'2021-09-07': 4.18},2021-09-07,41,106,4010,7.16,1,5,2,3,2,2014-11-01,2015-04-21,779412.0,3.0,2012.0,1.0,1,1,12.8,1.0,7,2,,42,3,2020-12-02,1.0,3.0,2.0,,2695*1559*1565,201206.0,1,,4.18,0
62,1564,2021-07-22,1.8,"{'2021-07-22': 1.8, '2021-08-29': '1.5', '2021-09-07': '1.25'}",2021-09-07,33,162,1313,8.99,5,4,2,2,5,2012-05-01,2012-08-21,779414.0,2.0,2012.0,1.6,6,1,9.78,1.0,2,2,118.0,35,3,2020-12-15,1.0,5.0,2.0,1+2,4249*1786*1556,201202.0,2,2090-07-22,1.25,47
1463,32985,2021-06-28,10.2,"{'2021-06-28': 10.2, '2021-09-07': '10.8'}",2021-09-07,32,418,6546,8.61,6,35,2,0,4,2015-03-01,2015-05-21,779415.0,3.0,2015.0,1.3,6,1,14.18,1.0,1,2,340.0,85,1,,1.0,3.0,2.0,,3695*1600*1705,201412.0,1,,10.8,71
867,1094,2021-09-07,3.8,{'2021-09-07': 3.8},2021-09-07,3,140,973,6.37,1,2,1,0,5,2015-11-01,2016-03-09,779416.0,2.0,2015.0,1.5,3,1,11.98,1.0,2,2,107.0,3,2,,1.0,4.0,3.0,1,4587*1825*1490,201412.0,2,,3.8,0
59,100,2021-07-24,0.5,"{'2021-07-24': 0.5, '2021-08-12': '0.88', '2021-08-29': '0.78', '2021-09-07': '0.48'}",2021-09-07,25,80,98,7.43,5,4,2,0,5,2010-06-01,2010-09-26,779413.0,1.0,2009.0,1.5,6,1,6.19,1.0,4,2,64.0,28,2,,1.0,4.0,3.0,1,4360*1710*1475,200903.0,2,2041-07-24,0.48,45
585,547,2021-08-11,8.1,"{'2021-08-11': 8.1, '2021-08-15': '6.98', '2021-09-07': '6.6'}",2021-09-07,8,16,514,10.97,1,4,1,0,5,2016-06-01,2016-08-09,779412.0,2.0,2016.0,1.6,3,1,13.18,1.0,2,2,,8,2,,1.0,4.0,3.0,1,4562*1793*1468,201603.0,1,2047-08-11,6.6,27
1049,10636,2021-09-07,47.8,{'2021-09-07': 47.8},2021-09-07,20,95,230,1.04,2,4,4,0,5,2021-03-01,2021-04-15,779412.0,2.0,2020.0,2.0,19,1,49.98,1.0,8,2,126.0,21,2,,2.0,4.0,,3+2,5065*1860*1484,202003.0,1,2049-09-07,47.8,0
1367,1616,2021-07-25,3.88,"{'2021-07-25': 3.88, '2021-09-07': '3.58'}",2021-09-07,26,200,1349,9.74,4,4,1,0,5,2015-12-01,2016-03-03,779413.0,1.0,2015.0,1.5,17,1,8.77,1.0,2,2,,22,2,,1.0,4.0,3.0,1,4521*1788*1492,201506.0,2,,3.58,44
427,1308,2021-07-19,8.88,"{'2021-07-19': 8.88, '2021-09-07': '8.58'}",2021-09-07,8,262,445,8.16,1,3,1,2,5,2016-12-01,2017-05-11,779412.0,2.0,2017.0,1.4,16,1,15.99,1.0,2,2,197.0,10,2,2021-01-29,2.0,4.0,3.0,1+2,4598*1826*1425,201608.0,1,,8.58,50
16,604,2021-09-02,6.8,"{'2021-09-02': 6.8, '2021-09-07': '6.065'}",2021-09-07,6,190,562,3.18,2,4,1,0,5,2016-04-01,2016-05-17,779413.0,1.0,2016.0,1.8,3,1,14.88,1.0,5,2,146.0,6,1,,2.0,5.0,2.0,1+2,4519*1831*1694,201603.0,2,2072-09-02,6.065,5
431,48144,2021-09-05,2.98,"{'2021-09-05': 2.98, '2021-09-08': '2.65'}",2021-09-08,12,240,8881,10.01,4,15,2,0,5,2012-01-01,2012-03-14,779415.0,2.0,2012.0,1.5,6,1,9.98,1.0,4,2,51.0,16,2,,1.0,4.0,3.0,1+2,4422*1695*1470,201202.0,1,,2.65,3
665,13546,2021-09-05,6.6,"{'2021-09-05': 6.6, '2021-09-08': '6.58'}",2021-09-08,5,296,3368,6.72,1,3,1,0,5,2016-10-01,2016-11-04,779416.0,2.0,2017.0,1.5,3,1,15.49,1.0,2,2,15.0,5,2,,1.0,4.0,3.0,1+2,4718*1802*1466,201609.0,2,,6.58,3
1039,1245,2021-07-31,11.5,"{'2021-07-31': 11.5, '2021-08-15': '10.98', '2021-08-29': '10.8', '2021-09-08': '9.97'}",2021-09-08,7,57,1084,7.52,1,4,2,0,5,2015-07-01,2015-11-13,779415.0,2.0,2014.0,2.0,20,1,19.68,,5,2,44.0,7,1,,1.0,5.0,2.0,1+2,4643*1820*1725,201403.0,3,,9.97,39
646,15226,2021-09-08,26.6,{'2021-09-08': 26.6},2021-09-08,15,174,3616,1.47,1,1,4,0,7,2021-01-01,2021-01-26,,,2021.0,2.0,14,1,25.28,1.0,10,2,132.0,17,6,,,,,1+2,5149*1884*1822,202009.0,1,,26.6,0
447,33294,2021-09-08,4.6,{'2021-09-08': 4.6},2021-09-08,8,135,6583,2.06,1,19,1,0,5,2016-01-01,2016-01-29,779412.0,2.0,2016.0,1.6,6,1,9.19,1.0,4,2,,10,3,,1.0,5.0,2.0,1,3970*1682*1462,201602.0,1,,4.6,0
1632,49982,2021-09-08,6.5,{'2021-09-08': 6.5},2021-09-08,25,41,9153,4.62,1,1,1,0,5,2018-04-01,2018-05-08,779413.0,1.0,2017.0,1.8,3,1,12.78,1.0,5,2,101.0,28,1,,2.0,5.0,2.0,1+2,4650*1850*1705,201702.0,2,,6.5,0
390,14159,2021-09-08,77.7,{'2021-09-08': 77.7},2021-09-08,27,379,3454,6.08,1,1,1,0,5,2018-03-01,2018-07-30,779411.0,3.0,2018.0,3.0,13,1,102.8,1.0,11,2,,29,1,,4.0,5.0,,3+2,4879*2073*1780,201801.0,1,,77.7,0
320,1122,2021-09-03,8.8,"{'2021-09-03': 8.8, '2021-09-08': '8.65'}",2021-09-08,23,198,996,7.68,1,2,1,0,5,2016-06-01,2016-08-05,779419.0,2.0,2015.0,1.6,16,1,18.68,1.0,6,2,151.0,25,2,,2.0,4.0,2.0,1+2,4855*1865*1485,201509.0,2,,8.65,5
315,36868,2021-08-17,13.88,"{'2021-08-17': 13.88, '2021-09-08': '13'}",2021-09-08,68,271,7099,4.51,2,1,1,0,5,2018-05-01,2018-07-19,,,2018.0,2.3,3,1,17.98,1.0,5,2,202.0,78,1,,,,,1,4645*1925*1871,201805.0,1,,13.0,22
1134,31433,2021-08-25,19.5,"{'2021-08-25': 19.5, '2021-09-08': '18.9'}",2021-09-08,15,174,6261,1.97,2,1,1,0,7,2019-05-01,2019-07-05,,,2018.0,2.0,3,1,25.98,1.0,10,2,97.0,17,6,,,,,1+2,5066*1923*1822,201712.0,1,,18.9,14
787,227,2021-09-01,7.0,"{'2021-09-01': 7.0, '2021-09-08': '6.1'}",2021-09-08,18,33,221,13.84,1,1,2,0,5,2010-12-01,2011-04-08,779412.0,2.0,2011.0,2.0,3,1,34.5,1.0,6,2,122.0,23,2,,1.0,4.0,3.0,1+2,4531*1817*1421,201011.0,2,2041-09-01,6.1,7
1744,935,2021-09-08,14.75,{'2021-09-08': 14.75},2021-09-08,11,15,844,24.23,2,1,2,2,5,2014-09-01,2014-10-29,779412.0,2.0,2014.0,2.0,2,1,40.98,1.0,8,2,,12,2,2020-12-16,2.0,4.0,3.0,"1+2,4+2",5015*1874*1455,201401.0,2,,14.75,0
1138,31656,2021-08-27,10.3,"{'2021-08-27': 10.3, '2021-09-08': '9.9'}",2021-09-08,5,31,6297,22.52,6,1,2,0,7,2011-08-01,2011-09-21,779416.0,2.0,2011.0,3.0,3,1,38.8,1.0,10,2,,5,6,,1.0,5.0,2.0,1+2,5256*1878*1800,201011.0,1,,9.9,12
950,1268,2021-09-08,15.5,{'2021-09-08': 15.5},2021-09-08,18,175,1102,19.24,6,1,2,0,5,2013-05-01,2013-05-30,779412.0,2.0,2013.0,2.0,13,1,45.96,1.0,8,2,34.0,23,2,,2.0,4.0,3.0,3+2,5039*1860*1492,201208.0,1,,15.5,0
65,32124,2021-08-21,14.2,"{'2021-08-21': 14.2, '2021-08-29': '13.9', '2021-09-08': '13.6'}",2021-09-08,12,53,6386,8.47,1,1,1,0,5,2017-02-01,2017-03-13,779415.0,2.0,2016.0,2.0,11,1,18.98,1.0,5,2,42.0,13,1,,1.0,5.0,2.0,1+2,4585*1820*1685,201603.0,1,,13.6,18
168,65454,2021-09-08,12.0,{'2021-09-08': 12.0},2021-09-08,27,46,11473,8.35,2,7,2,1,5,2012-08-01,2012-11-08,779411.0,3.0,2012.0,2.0,3,1,59.8,1.0,3,2,,29,1,2021-08-19,2.0,5.0,2.0,1+2,4500*2005*1765,201202.0,2,,12.0,0
1241,63843,2021-09-08,19.2,{'2021-09-08': 19.2},2021-09-08,7,601,11213,2.87,1,1,4,0,5,2019-12-01,2020-03-23,779415.0,2.0,2020.0,2.5,15,1,22.83,,3,2,256.0,56,1,,1.0,5.0,,1,4882*1850*1835,201911.0,2,,19.2,0
1948,46545,2021-09-06,15.2,"{'2021-09-06': 15.2, '2021-09-08': '14.9'}",2021-09-08,7,601,8602,4.84,1,1,1,0,5,2018-04-01,2018-10-29,779415.0,2.0,2018.0,2.5,15,1,19.98,1.0,3,2,256.0,56,1,,1.0,5.0,,1,4882*1850*1835,201804.0,1,,14.9,2
1936,39252,2021-09-08,12.9,{'2021-09-08': 12.9},2021-09-08,7,166,925,3.6,2,1,4,0,5,2019-12-01,2020-01-16,779415.0,2.0,2020.0,2.0,11,1,18.78,1.0,6,2,44.0,7,2,,1.0,4.0,,1+2,4901*1850*1447,201910.0,1,,12.9,0
370,1393,2021-09-08,4.15,{'2021-09-08': 4.15},2021-09-08,6,216,1189,1.93,1,5,1,0,5,2019-05-01,2019-06-27,779413.0,1.0,2019.0,1.5,17,1,7.29,1.0,2,2,112.0,6,2,,1.0,4.0,,1,4599*1747*1482,201906.0,2,,4.15,0
372,251,2021-09-05,4.3,"{'2021-09-05': 4.3, '2021-09-08': '4.0'}",2021-09-08,12,21,78,8.05,5,1,2,2,5,2012-11-01,2013-01-04,779415.0,2.0,2011.0,1.3,22,1,8.98,1.0,4,2,52.0,16,3,2018-06-09,1.0,5.0,2.0,1+2,3900*1695*1525,201103.0,2,,4.0,3
1462,73,2021-07-28,16.48,"{'2021-07-28': 16.48, '2021-09-08': '14.8'}",2021-09-08,11,63,71,12.17,1,3,2,1,5,2015-01-01,2015-06-18,779412.0,2.0,2015.0,2.0,7,1,35.3,1.0,6,2,,12,2,2017-11-06,2.0,4.0,3.0,1+2,4761*1826*1439,201406.0,1,,14.8,42
1671,21753,2021-09-08,15.7,{'2021-09-08': 15.7},2021-09-08,45,131,165,10.58,1,3,2,0,5,2012-07-01,2012-09-12,779415.0,3.0,2013.0,2.5,3,1,40.9,1.0,8,2,102.0,47,2,,1.0,4.0,3.0,3+2,4900*1820*1450,201207.0,2,,15.7,0
1388,8553,2021-09-08,15.0,{'2021-09-08': 15.0},2021-09-08,90,641,2539,1.95,2,1,1,0,7,2017-09-01,2018-04-16,779413.0,1.0,2018.0,2.0,3,1,26.98,,10,2,497.0,111,6,,2.0,5.0,2.0,1,5168*1980*1928,,2,,15.0,0
607,61759,2021-09-01,10.3,"{'2021-09-01': 10.3, '2021-09-08': '9.8'}",2021-09-08,3,133,709,6.86,1,1,1,1,5,2016-08-01,2016-09-14,779416.0,2.0,2013.0,2.0,3,1,20.28,1.0,6,2,,3,2,2021-07-13,2.0,4.0,3.0,1+2,4860*1854*1480,201308.0,1,,9.8,7
1557,57229,2021-09-08,28.38,{'2021-09-08': 28.38},2021-09-08,18,175,10262,5.86,1,2,1,0,5,2016-09-01,2016-11-01,779412.0,2.0,2017.0,2.0,13,1,49.96,1.0,8,2,34.0,23,2,,2.0,4.0,3.0,3+2,5055*1860*1491,201607.0,1,,28.38,0
144,631,2021-09-09,1.2999,{'2021-09-09': 1.2999},2021-09-09,23,307,589,4.47,5,3,2,0,5,2011-02-01,2011-03-29,779419.0,2.0,2008.0,1.4,6,1,7.18,1.0,4,2,166.0,25,2,,1.0,4.0,3.0,,4310*1695*1480,200809.0,2,,1.2999,0
1950,19068,2021-09-09,15.68,{'2021-09-09': 15.68},2021-09-09,3,3,143,7.99,1,5,1,1,7,2015-11-01,2015-12-04,779416.0,2.0,2015.0,2.0,3,1,33.98,1.0,3,2,3.0,3,1,2021-09-06,2.0,5.0,2.0,3+2,4878*1925*1770,201504.0,1,,15.68,0
158,35723,2021-09-09,9.88,{'2021-09-09': 9.88},2021-09-09,8,707,6928,1.98,8,19,4,0,5,2019-04-01,2019-09-12,779412.0,2.0,2019.0,1.4,16,1,14.79,1.0,1,2,235.0,10,1,,2.0,5.0,,1+2,4218*1760*1589,201904.0,1,,9.88,0
1591,67156,2021-09-09,7.18,{'2021-09-09': 7.18},2021-09-09,5,533,11703,9.47,2,19,2,0,5,2012-12-01,2013-08-07,779416.0,2.0,2011.0,3.0,3,1,38.8,1.0,8,2,416.0,5,2,,1.0,4.0,3.0,1+2,5175*1899*1480,201105.0,1,,7.18,0
260,116,2021-09-09,3.5599,{'2021-09-09': 3.5599},2021-09-09,6,91,112,11.42,6,2,1,0,5,2017-09-01,2017-10-12,779413.0,1.0,2017.0,1.8,12,1,8.58,1.0,2,2,71.0,6,2,,1.0,4.0,2.0,1,4725*1802*1478,201609.0,2,,3.5599,0
1968,554,2021-09-04,5.08,"{'2021-09-04': 5.08, '2021-09-09': '4.98'}",2021-09-09,32,199,521,3.91,4,1,1,0,5,2016-09-01,2016-10-19,779415.0,2.0,2016.0,1.6,4,1,8.98,1.0,2,2,152.0,34,10,,1.0,5.0,2.0,1,4135*1755*1605,201607.0,1,,4.98,5
612,38747,2021-09-09,11.3,{'2021-09-09': 11.3},2021-09-09,8,39,7369,8.16,6,14,1,0,5,2016-05-01,2016-08-31,779412.0,2.0,2016.0,1.8,3,1,25.98,1.0,5,2,508.0,10,1,,2.0,5.0,2.0,1+2,4506*1809*1685,201602.0,1,,11.3,0
701,1421,2021-09-09,17.5,{'2021-09-09': 17.5},2021-09-09,20,27,1212,6.29,5,1,2,1,5,2013-01-01,2013-02-06,779412.0,3.0,,3.0,15,1,41.8,1.0,3,2,,21,1,2017-08-30,1.0,5.0,,3+2,4528*1840*1689,201210.0,2,,17.5,0
423,14213,2021-09-09,6.98,{'2021-09-09': 6.98},2021-09-09,26,72,3469,6.93,1,14,1,0,5,2016-10-01,2016-11-15,779413.0,1.0,2016.0,2.0,23,1,16.68,1.0,5,2,,22,1,,2.0,5.0,2.0,1+2,4545*1855*1719,201607.0,1,,6.98,0
711,23174,2021-09-09,16.9,{'2021-09-09': 16.9},2021-09-09,11,63,4968,7.53,1,1,1,0,5,2016-02-01,2016-04-07,779412.0,2.0,2016.0,2.0,2,1,33.29,1.0,6,2,,12,2,,2.0,4.0,3.0,1+2,4761*1826*1439,201512.0,1,,16.9,0
1395,20770,2021-09-09,26.29,{'2021-09-09': 26.29},2021-09-09,11,238,4559,4.13,1,1,1,0,5,2018-04-01,2018-06-21,779412.0,2.0,2017.0,2.0,13,1,39.96,,3,2,,12,1,,2.0,5.0,2.0,1+2,4629*1898*1655,201707.0,2,,26.29,0
96,25677,2021-09-09,38.58,{'2021-09-09': 38.58},2021-09-09,42,396,947,2.87,8,1,2,0,5,2015-05-01,2015-08-25,779412.0,3.0,2014.0,2.0,7,1,55.8,,3,2,,43,1,,2.0,5.0,2.0,"1+2,4+2",4681*1923*1624,201404.0,2,,38.58,0
1335,155,2021-09-09,2.15,{'2021-09-09': 2.15},2021-09-09,10,52,151,8.63,1,5,1,0,5,2016-06-01,2016-06-16,779413.0,1.0,2016.0,1.5,6,1,6.39,1.0,2,2,41.0,11,2,,1.0,4.0,3.0,1,4572*1825*1482,201603.0,1,,2.15,0
1377,67543,2021-09-09,10.3,{'2021-09-09': 10.3},2021-09-09,15,126,159,4.23,2,5,1,0,7,2017-08-01,2017-09-29,779413.0,1.0,2017.0,2.0,3,1,18.28,1.0,3,2,97.0,17,1,,2.0,5.0,2.0,1+2,4810*1910*1770,201610.0,2,,10.3,0
1208,283,2021-09-09,1.5999,{'2021-09-09': 1.5999},2021-09-09,7,86,274,14.73,2,5,3,1,5,2008-01-01,2009-03-01,779415.0,2.0,2008.0,1.6,4,1,12.68,1.0,2,2,68.0,7,3,2016-05-25,1.0,5.0,2.0,1,4250*1695*1535,,2,,1.5999,0
782,36392,2021-09-03,10.28,"{'2021-09-03': 10.28, '2021-09-09': '9.96'}",2021-09-09,4,4,4,3.9,7,9,2,0,4,2012-02-01,2013-01-04,779411.0,3.0,2011.0,1.6,3,1,26.9,1.0,4,2,4.0,4,3,,1.0,3.0,2.0,1+2,3723*1683*1407,201010.0,1,,9.96,6
1068,43269,2021-07-04,14.98,"{'2021-07-04': 14.98, '2021-07-27': '14.38', '2021-09-10': '13.5'}",2021-09-10,12,53,1277,7.84,6,9,1,1,5,2016-09-01,2016-10-31,779415.0,2.0,2015.0,2.4,11,1,22.98,1.0,5,2,330.0,13,1,2021-06-25,1.0,5.0,2.0,1+2,4585*1820*1685,201504.0,1,,13.5,68
